Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy bez miast na prawach powiatu";"Dział 921 - Kultura i ochrona dziedzictwa narodowego";"";"zł";124405,42;141811,40;99194,46;129879,00;126454,00;133590,00;2906512,67;188776,02;504764,25;155115,72;98600,08;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy bez miast na prawach powiatu";"Dział 926 - Kultura fizyczna i sport";"";"zł";800522,79;;;;;;;;;;;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy bez miast na prawach powiatu";"Dział 926 - Kultura fizyczna";"";"zł";;1810804,24;1163449,65;931035,99;899029,77;1161185,67;1674762,88;1143533,70;1187632,54;1306316,99;2686530,39;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"razem";"";"zł";45976891,90;47349856,23;49785159,06;52579375,35;58239618,15;64694713,77;63379933,91;69721567,70;79464986,11;90036991,95;98013835,56;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek rolny";"";"zł";61014,22;64769,87;125637,07;132582,68;123164,85;110433,41;95187,48;93260,25;92318,29;97101,12;105224,63;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek leśny";"";"zł";12837,38;15231,71;17225,65;17866,80;16717,95;19058,23;27477,04;27023,79;27498,81;26775,86;29806,76;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od nieruchomości";"";"zł";13504212,83;14215578,35;14836497,99;15740737,24;16413056,03;16792890,06;17285480,22;17269748,69;17119534,31;18169040,38;18801863,30;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od środków transportowych";"";"zł";1223180,45;1469285,14;1569717,30;1715010,41;1763344,71;1807347,84;1288945,72;1319467,02;1449039,51;1416694,94;1405552,12;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od spadków i darowizn";"";"zł";;;;;;;;;;338771,68;237052,12;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";"gminy łącznie z miastami na prawach powiatu";"dochody podatkowe - podatek od czynności cywilnoprawnych";"";"zł";1593214,14;1034191,41;1116510,95;943086,48;1287791,28;1778545,71;1826339,54;1643010,01;1952540,41;1955891,73;2469449,31;;
